0,#,FORM,LEMMA,GRAM,COMMENT,CHECKED,CONTEXT,RIGHT1,RIGHT2,RIGHT3,RIGHT4,RIGHT5,RIGHT6,POS,AUTO_LEMMA,AUTO_GRAM,
11175,,Мгм,МГМ!,INTJ,,,_Мгм_ .,м,г,м,,,,NONLEX,МГМ,NONLEX,М
11176,,.,.,PUNCT,,,,,,,,,,PUNCT,,,
11177,,,,,,,,,,,,,,,,,
11178,# sent = 847,,,,,,,,,,,,,,,,
11179,,Три,ТРИ,NUM nom - -,,,". _Три_ я ,",и,р,т,,,,NUM,ТРИ,NUM nom - -,И
11180,,я,Я,SPRO sg 1p - nom,,,"Три _я_ , наве",я,,,,,,SPRO,Я,SPRO sg 1p - nom,Я
11181,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
11182,"<distinct form=""",,,,,,,,,,,,,,,,
11183,<dist>,наве,,,,,,,,,,,,,,,
11184,""">",,,,,,,,,,,,,,,,
11185,,наверное,НАВЕРНОЕ!,PARENTH,,,наве _наверное_ ... я,е,о,н,р,е,в,ADV,НАВЕРНОЕ,ADV -,Е
11186,</distinct>,,,,,,,,,,,,,,,,
11187,,...,...,PUNCT,,,,,,,,,,PUNCT,,,
11188,,я,Я,SPRO sg 1p - nom,,,"наверное ... _я_ не уверена ,",я,,,,,,SPRO,Я,SPRO sg 1p - nom,Я
11189,,не,НЕ,PART,,,"... я _не_ уверена , что",е,н,,,,,PART,НЕ,PART,Е
11190,,уверена,УВЕРЕННЫЙ,A - - sg brev f -,,,"... я не _уверена_ , что вспомню",а,н,е,р,е,в,A,УВЕРЕННЫЙ,A - - sg brev f -,Й
11191,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
11192,,что,ЧТО,CONJ,,,"не уверена , _что_ вспомню , но",о,т,ч,,,,CONJ,ЧТО,CONJ,О
11193,,вспомню,ВСПОМНИТЬ,V pf fut sg indic - 1p,,,"уверена , что _вспомню_ , но вот",ю,н,м,о,п,с,V,ВСПОМНИТЬ,V pf fut sg indic - 1p,Ь
11194,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
11195,,но,НО,CONJ,,,"что вспомню , _но_ вот например одно",о,н,,,,,CONJ,НО,CONJ,О
11196,,вот,ВОТ,PART,,,"вспомню , но _вот_ например одно событие",т,о,в,,,,PART,ВОТ,PART,Т
11197,,например,НАПРИМЕР!,PARENTH,,,", но вот _например_ одно событие ,",р,е,м,и,р,п,ADV,НАПРИМЕР,ADV -,Р
11198,,одно,ОДИН,ANUM - nom sg plen n -,,,"но вот например _одно_ событие , которое",о,н,д,о,,,ANUM,ОДИН,A - nom sg plen n -,Н
11199,,событие,СОБЫТИЕ,S n inan nom sg,,,"вот например одно _событие_ , которое на",е,и,т,ы,б,о,S,СОБЫТИЕ,S n inan nom sg,Е
11200,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
11201,,которое,КОТОРЫЙ,APRO - nom sg plen n -,,,"одно событие , _которое_ на меня очень",е,о,р,о,т,о,APRO,КОТОРЫЙ,A - nom sg plen n -,Й
11202,,на,НА,PR,,,"событие , которое _на_ меня очень повлияло",а,н,,,,,PR,НА,PR,А
11203,,меня,Я,SPRO sg 1p - acc,,,", которое на _меня_ очень повлияло ...",я,н,е,м,,,SPRO,Я,SPRO sg 1p - acc,Я
11204,,очень,ОЧЕНЬ,ADV -,,,которое на меня _очень_ повлияло ... это,ь,н,е,ч,о,,ADV,ОЧЕНЬ,ADV -,Ь
11205,,повлияло,ПОВЛИЯТЬ,V pf praet sg indic n -,,,на меня очень _повлияло_ ... это было,о,л,я,и,л,в,V,ПОВЛИЯТЬ,V pf praet sg indic n -,Ь
11206,,...,...,PUNCT,,,,,,,,,,PUNCT,,,
11207,,это,ЭТО,SPRO n - nom sg,,,очень повлияло ... _это_ было летом две,о,т,э,,,,SPRO,ЭТО,S n - nom sg,О
11208,,было,БЫТЬ,V ipf praet sg indic n -,,,повлияло ... это _было_ летом две тысячи,о,л,ы,б,,,V,БЫТЬ,V ipf praet sg indic n -,Ь
11209,,летом,ЛЕТО,S n inan ins sg,,,... это было _летом_ две тысячи четырнадцатого,м,о,т,е,л,,S,ЛЕТО,S n inan ins sg,О
11210,,две,ДВА,NUM nom f -,,,"это было летом _две_ тысячи четырнадцатого ,",е,в,д,,,,NUM,ДВА,NUM nom f -,А
11211,,тысячи,ТЫСЯЧА!,NUM f nom pl,,,"было летом две _тысячи_ четырнадцатого , когда",и,ч,я,с,ы,т,S,ТЫСЯЧА,S f inan gen sg,А
11212,,четырнадцатого,ЧЕТЫРНАДЦАТЫЙ,ANUM - gen sg plen m -,,,"летом две тысячи _четырнадцатого_ , когда я",о,г,о,т,а,ц,ANUM,ЧЕТЫРНАДЦАТЫЙ,A - gen sg plen m -,Й
11213,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
11214,,когда,КОГДА,CONJ,,,"тысячи четырнадцатого , _когда_ я ходила ...",а,д,г,о,к,,CONJ,КОГДА,CONJ,А
11215,,я,Я,SPRO sg 1p - nom,,,"четырнадцатого , когда _я_ ходила ... на",я,,,,,,SPRO,Я,SPRO sg 1p - nom,Я
11216,,ходила,ХОДИТЬ,V ipf praet sg indic f -,,,", когда я _ходила_ ... на сходку",а,л,и,д,о,х,V,ХОДИТЬ,V ipf praet sg indic f -,Ь
11217,,...,...,PUNCT,,,,,,,,,,PUNCT,,,
11218,,на,НА,PR,,,"я ходила ... _на_ сходку виккан ,",а,н,,,,,PR,НА,PR,А
11219,,сходку,СХОДКА,S f inan acc sg,,,"ходила ... на _сходку_ виккан , и",у,к,д,о,х,с,S,СХОДКА,S f inan acc sg,А
11220,,виккан,ВИККАНЕ!,S - anim nom pl,bastard,,"... на сходку _виккан_ , и там",н,а,к,к,и,в,S,ВИККАН,S m anim nom sg,Н
11221,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
11222,,и,И,CONJ,,,"сходку виккан , _и_ там был ...",и,,,,,,CONJ,И,CONJ,И
11223,,там,ТАМ!,ADVPRO -,,,"виккан , и _там_ был ... эээ",м,а,т,,,,ADV,ТАМ,ADV -,М
11224,,был,БЫТЬ,V ipf praet sg indic m -,,,", и там _был_ ... эээ ...",л,ы,б,,,,V,БЫТЬ,V ipf praet sg indic m -,Ь
11225,,...,...,PUNCT,,,,,,,,,,PUNCT,,,
11226,,эээ,ЭЭЭ!,INTJ,,,там был ... _эээ_ ... молодой человек,э,э,э,,,,NONLEX,ЭЭЭ,NONLEX,Э
11227,,...,...,PUNCT,,,,,,,,,,PUNCT,,,
11228,,молодой,МОЛОДОЙ,A - nom sg plen m -,,,"... эээ ... _молодой_ человек , с",й,о,д,о,л,о,A,МОЛОДОЙ,A - nom sg plen m -,Й
11229,,человек,ЧЕЛОВЕК,S m anim nom sg,,,"эээ ... молодой _человек_ , с которым",к,е,в,о,л,е,S,ЧЕЛОВЕК,S m anim nom sg,К
11230,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
11231,,с,С,PR,,,"молодой человек , _с_ которым я общалась",с,,,,,,PR,С,PR,С
11232,,которым,КОТОРЫЙ!,APRO - dat sg plen m anim,,,"человек , с _которым_ я общалась ,",м,ы,р,о,т,о,APRO,КОТОРЫЙ,A - dat pl plen - -,Й
11233,,я,Я,SPRO sg 1p - nom,,,", с которым _я_ общалась , и",я,,,,,,SPRO,Я,SPRO sg 1p - nom,Я
11234,,общалась,ОБЩАТЬСЯ,V ipf praet sg indic f -,,,"с которым я _общалась_ , и мы",ь,с,а,л,а,щ,V,ОБЩАТЬСЯ,V ipf praet sg indic f -,Я
11235,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
11236,,и,И,CONJ,,,"я общалась , _и_ мы обсуждали разные",и,,,,,,CONJ,И,CONJ,И
11237,,мы,МЫ,SPRO pl 1p - nom,,,"общалась , и _мы_ обсуждали разные вещи",ы,м,,,,,SPRO,МЫ,SPRO pl 1p - nom,Ы
11238,,обсуждали,ОБСУЖДАТЬ,V ipf praet pl indic - -,,,", и мы _обсуждали_ разные вещи ,",и,л,а,д,ж,у,V,ОБСУЖДАТЬ,V ipf praet pl indic - -,Ь
11239,,разные,РАЗНЫЙ,A - acc pl plen - inan,,,"и мы обсуждали _разные_ вещи , я",е,ы,н,з,а,р,A,РАЗНЫЙ,A - acc pl plen - inan,Й
11240,,вещи,ВЕЩЬ,S f inan acc pl,,,"мы обсуждали разные _вещи_ , я обсуждала",и,щ,е,в,,,S,ВЕЩЬ,S f inan acc pl,Ь
11241,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
11242,,я,Я,SPRO sg 1p - nom,,,"разные вещи , _я_ обсуждала с ним",я,,,,,,SPRO,Я,SPRO sg 1p - nom,Я
11243,,обсуждала,ОБСУЖДАТЬ,V ipf praet sg indic f -,,,"вещи , я _обсуждала_ с ним ...",а,л,а,д,ж,у,V,ОБСУЖДАТЬ,V ipf praet sg indic f -,Ь
11244,,с,С,PR,,,", я обсуждала _с_ ним ... ааа",с,,,,,,PR,С,PR,С
11245,,ним,ОН,SPRO sg 3p m ins,,,я обсуждала с _ним_ ... ааа ...,м,и,н,,,,SPRO,ОН,SPRO sg 3p m ins,Н
11246,,...,...,PUNCT,,,,,,,,,,PUNCT,,,
11247,,ааа,ААА,INTJ,,,с ним ... _ааа_ ... таро .,а,а,а,,,,INTJ,ААА,INTJ,А
11248,,...,...,PUNCT,,,,,,,,,,PUNCT,,,
11249,,таро,ТАРО!,S n inan acc sg,,,... ааа ... _таро_ .,о,р,а,т,,,S,ТАРО,S n inan nonflex -,О
11250,,.,.,PUNCT,,,,,,,,,,PUNCT,,,
11251,,,,,,,,,,,,,,,,,
11252,# sent = 848,,,,,,,,,,,,,,,,
11253,,Ааа,ААА,INTJ,,,. _Ааа_ ... и я,а,а,а,,,,INTJ,ААА,INTJ,А
11254,,...,...,PUNCT,,,,,,,,,,PUNCT,,,
11255,,и,И,CONJ,,,Ааа ... _и_ я говорила ему,и,,,,,,CONJ,И,CONJ,И
11256,,я,Я,SPRO sg 1p - nom,,,Ааа ... и _я_ говорила ему о,я,,,,,,SPRO,Я,SPRO sg 1p - nom,Я
11257,,говорила,ГОВОРИТЬ,V ipf praet sg indic f -,,,... и я _говорила_ ему о том,а,л,и,р,о,в,V,ГОВОРИТЬ,V ipf praet sg indic f -,Ь
11258,,ему,ОН,SPRO sg 3p m dat,,,"и я говорила _ему_ о том ,",у,м,е,,,,SPRO,ОН,SPRO sg 3p m dat,Н
11259,,о,О,PR,,,"я говорила ему _о_ том , что",о,,,,,,PR,О,PR,О
11260,,том,ТО,SPRO n - loc sg,,,"говорила ему о _том_ , что я",м,о,т,,,,SPRO,ТО,S n - loc sg,О
11261,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
11262,,что,ЧТО,CONJ,,,"о том , _что_ я купила себе",о,т,ч,,,,CONJ,ЧТО,CONJ,О
11263,,я,Я,SPRO sg 1p - nom,,,"том , что _я_ купила себе колоду",я,,,,,,SPRO,Я,SPRO sg 1p - nom,Я
11264,,купила,КУПИТЬ,V pf praet sg indic f -,,,", что я _купила_ себе колоду таро",а,л,и,п,у,к,V,КУПИТЬ,V pf praet sg indic f -,Ь
11265,,себе,СЕБЯ,SPRO - - - dat,,,"что я купила _себе_ колоду таро ,",е,б,е,с,,,SPRO,СЕБЯ,SPRO - - - dat,Я
11266,,колоду,КОЛОДА,S f inan acc sg,,,"я купила себе _колоду_ таро , но",у,д,о,л,о,к,S,КОЛОДА,S f inan acc sg,А
11267,,таро,ТАРО,S n inan gen sg,,,"купила себе колоду _таро_ , но у",о,р,а,т,,,S,ТАРО,S n inan nonflex -,О
11268,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
11269,,но,НО,CONJ,,,"колоду таро , _но_ у меня с",о,н,,,,,CONJ,НО,CONJ,О
11270,,у,У,PR,,,"таро , но _у_ меня с ней",у,,,,,,PR,У,PR,У
11271,,меня,Я!,SPRO sg 1p - gen,,,", но у _меня_ с ней вообще",я,н,е,м,,,SPRO,Я,SPRO sg 1p - acc,Я
11272,,с,С,PR,,,но у меня _с_ ней вообще никак,с,,,,,,PR,С,PR,С
11273,,ней,ОНА,SPRO sg 3p f loc,,,у меня с _ней_ вообще никак не,й,е,н,,,,SPRO,ОНА,SPRO sg 3p f loc,А
11274,,вообще,ВООБЩЕ,ADV -,,,меня с ней _вообще_ никак не заходит,е,щ,б,о,о,в,ADV,ВООБЩЕ,ADV -,Е
11275,,никак,НИКАК!,ADVPRO -,,,"с ней вообще _никак_ не заходит ,",к,а,к,и,н,,ADV,НИКАК,ADV -,К
11276,,не,НЕ,PART,,,"ней вообще никак _не_ заходит , я",е,н,,,,,PART,НЕ,PART,Е
11277,,заходит,ЗАХОДИТЬ,V ipf praes sg indic - 3p,,,"вообще никак не _заходит_ , я ее",т,и,д,о,х,а,V,ЗАХОДИТЬ,V ipf praes sg indic - 3p,Ь
11278,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
11279,,я,Я,SPRO sg 1p - nom,,,"не заходит , _я_ ее беру в",я,,,,,,SPRO,Я,SPRO sg 1p - nom,Я
11280,,ее,ОНА,SPRO sg 3p f acc,,,"заходит , я _ее_ беру в руки",е,е,,,,,SPRO,ОНА,SPRO sg 3p f acc,А
11281,,беру,БРАТЬ,V ipf praes sg indic - 1p,,,", я ее _беру_ в руки ,",у,р,е,б,,,V,БРАТЬ,V ipf praes sg indic - 1p,Ь
11282,,в,В,PR,,,"я ее беру _в_ руки , у",в,,,,,,PR,В,PR,В
11283,,руки,РУКА,S f inan acc pl,,,"ее беру в _руки_ , у меня",и,к,у,р,,,S,РУКА,S f inan acc pl,А
11284,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
11285,,у,У,PR,,,"в руки , _у_ меня болит голова",у,,,,,,PR,У,PR,У
11286,,меня,Я!,SPRO sg 1p - gen,,,"руки , у _меня_ болит голова ...",я,н,е,м,,,SPRO,Я,SPRO sg 1p - acc,Я
11287,,болит,БОЛЕТЬ,V ipf praes sg indic - 3p,,,", у меня _болит_ голова ... и",т,и,л,о,б,,V,БОЛЕТЬ,V ipf praes sg indic - 3p,Ь
11288,,голова,ГОЛОВА,S f inan nom sg,,,у меня болит _голова_ ... и все,а,в,о,л,о,г,S,ГОЛОВА,S m anim dat sg,А
11289,,...,...,PUNCT,,,,,,,,,,PUNCT,,,
11290,,и,И,CONJ,,,болит голова ... _и_ все такое ...,и,,,,,,CONJ,И,CONJ,И
11291,,все,ВЕСЬ!,APRO - nom sg plen n -,,,голова ... и _все_ такое ... и,е,с,в,,,,APRO,ВЕСЬ,A - nom pl plen - -,Ь
11292,,такое,ТАКОЙ!,APRO - nom sg plen n -,,,... и все _такое_ ... и что,е,о,к,а,т,,APRO,ТАКОЙ,A - acc sg plen n -,Й
11293,,...,...,PUNCT,,,,,,,,,,PUNCT,,,
11294,,и,И,CONJ,,,все такое ... _и_ что я совершенно,и,,,,,,CONJ,И,CONJ,И
11295,,что,ЧТО,CONJ,,,такое ... и _что_ я совершенно не,о,т,ч,,,,CONJ,ЧТО,CONJ,О
11296,,я,Я,SPRO sg 1p - nom,,,... и что _я_ совершенно не знаю,я,,,,,,SPRO,Я,SPRO sg 1p - nom,Я
11297,,совершенно,СОВЕРШЕННО,ADV -,,,и что я _совершенно_ не знаю канонических,о,н,н,е,ш,р,ADV,СОВЕРШЕННО,ADV -,О
11298,,не,НЕ,PART,,,что я совершенно _не_ знаю канонических значений,е,н,,,,,PART,НЕ,PART,Е
11299,,знаю,ЗНАТЬ,V ipf praes sg indic - 1p,,,я совершенно не _знаю_ канонических значений карт,ю,а,н,з,,,V,ЗНАТЬ,V ipf praes sg indic - 1p,Ь
11300,,канонических,КАНОНИЧЕСКИЙ!,A - gen pl plen - -,,,"совершенно не знаю _канонических_ значений карт ,",х,и,к,с,е,ч,A,КАНОНИЧЕСКИЙ,A - loc pl plen - -,Й
11301,,значений,ЗНАЧЕНИЕ,S n inan gen pl,,,"не знаю канонических _значений_ карт , и",й,и,н,е,ч,а,S,ЗНАЧЕНИЕ,S n inan gen pl,Е
11302,,карт,КАРТА,S f inan gen pl,,,"знаю канонических значений _карт_ , и вот",т,р,а,к,,,S,КАРТА,S f inan gen pl,А
11303,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
11304,,и,И,CONJ,,,"значений карт , _и_ вот эти вот",и,,,,,,CONJ,И,CONJ,И
11305,,вот,ВОТ,PART,,,"карт , и _вот_ эти вот все",т,о,в,,,,PART,ВОТ,PART,Т
11306,,эти,ЭТОТ,APRO - nom pl plen - -,,,", и вот _эти_ вот все штуки",и,т,э,,,,APRO,ЭТОТ,A - nom pl plen - -,Т
11307,,вот,ВОТ,PART,,,и вот эти _вот_ все штуки .,т,о,в,,,,PART,ВОТ,PART,Т
11308,,все,ВЕСЬ,APRO - nom pl plen - -,,,вот эти вот _все_ штуки .,е,с,в,,,,APRO,ВЕСЬ,A - nom pl plen - -,Ь
11309,,штуки,ШТУКА,S f inan nom pl,,,эти вот все _штуки_ .,и,к,у,т,ш,,S,ШТУКА,S f inan nom pl,А
11310,,.,.,PUNCT,,,,,,,,,,PUNCT,,,
11311,,,,,,,,,,,,,,,,,
11312,# sent = 849,,,,,,,,,,,,,,,,
11313,,И,И,CONJ,,,. _И_ он просто как-то,и,,,,,,CONJ,И,CONJ,И
11314,,он,ОН,SPRO sg 3p m nom,,,И _он_ просто как-то совершенно,н,о,,,,,SPRO,ОН,SPRO sg 3p m nom,Н
11315,,просто,ПРОСТО,PART,,,И он _просто_ как-то совершенно волшебным,о,т,с,о,р,п,PART,ПРОСТО,PART,О
11316,,как-то,КАК-ТО!,ADVPRO -,,,И он просто _как-то_ совершенно волшебным образом,о,т,-,к,а,к,ADV,КАК-ТО,ADV -,О
11317,,совершенно,СОВЕРШЕННО,ADV -,,,он просто как-то _совершенно_ волшебным образом просто,о,н,н,е,ш,р,ADV,СОВЕРШЕННО,ADV -,О
11318,,волшебным,ВОЛШЕБНЫЙ,A - ins sg plen m -,,,просто как-то совершенно _волшебным_ образом просто,м,ы,н,б,е,ш,A,ВОЛШЕБНЫЙ,A - ins sg plen m -,Й
11319,,образом,ОБРАЗ,S m inan ins sg,,,как-то совершенно волшебным _образом_ просто какб,м,о,з,а,р,б,S,ОБРАЗ,S m inan ins sg,З
11320,,просто,ПРОСТО,ADV -,,,совершенно волшебным образом _просто_ какб,о,т,с,о,р,п,ADV,ПРОСТО,ADV -,О
11321,"<distinct form=""",,,,,,,,,,,,,,,,
11322,<dist>,какб,,,,,,,,,,,,,,,
11323,""">",,,,,,,,,,,,,,,,
11324,,как бы,как бы,PART,,,какб _как бы_ посмотрел на,ы,б,,к,а,к,PART,как бы,ADV -,ы
11325,</distinct>,,,,,,,,,,,,,,,,
11326,,посмотрел,ПОСМОТРЕТЬ,V pf praet sg indic m -,,,как бы _посмотрел_ на меня и,л,е,р,т,о,м,V,ПОСМОТРЕТЬ,V pf praet sg indic m -,Ь
11327,,на,НА,PR,,,как бы посмотрел _на_ меня и сказал,а,н,,,,,PR,НА,PR,А
11328,,меня,Я,SPRO sg 1p - acc,,,посмотрел на _меня_ и сказал :,я,н,е,м,,,SPRO,Я,SPRO sg 1p - acc,Я
11329,,и,И,CONJ,,,"посмотрел на меня _и_ сказал : """,и,,,,,,CONJ,И,CONJ,И
11330,,сказал,СКАЗАТЬ,V pf praet sg indic m -,,,"на меня и _сказал_ : "" А",л,а,з,а,к,с,V,СКАЗАТЬ,V pf praet sg indic m -,Ь
11331,,:,:,PUNCT,,,,,,,,,,PUNCT,,,
11332,,"""","""",PUNCT,,,,,,,,,,PUNCT,,,
11333,,А,А,CONJ,,,"сказал : "" _А_ выкинь ты нафиг",а,,,,,,CONJ,А,CONJ,А
11334,,выкинь,ВЫКИНУТЬ,V pf - sg imper - 2p,,,": "" А _выкинь_ ты нафиг все",ь,н,и,к,ы,в,V,ВЫКИНУТЬ,V pf - sg imper - 2p,Ь
11335,,ты,ТЫ,SPRO sg 2p - nom,,,""" А выкинь _ты_ нафиг все эти",ы,т,,,,,SPRO,ТЫ,SPRO sg 2p - nom,Ы
11336,,нафиг,НАФИГ,ADV,,,А выкинь ты _нафиг_ все эти бумажки,г,и,ф,а,н,,S,НАФИГ,S m anim nom sg,Г
11337,,все,ВЕСЬ!,APRO - acc pl plen - -,,,"выкинь ты нафиг _все_ эти бумажки """,е,с,в,,,,APRO,ВЕСЬ,A - nom pl plen - -,Ь
11338,,эти,ЭТОТ!,APRO - acc pl plen - -,,,"ты нафиг все _эти_ бумажки "" .",и,т,э,,,,APRO,ЭТОТ,A - nom pl plen - -,Т
11339,,бумажки,БУМАЖКА!,S f inan acc pl,,,"нафиг все эти _бумажки_ "" .",и,к,ж,а,м,у,S,БУМАЖКА,S f inan nom pl,А
11340,,"""","""",PUNCT,,,,,,,,,,PUNCT,,,
11341,,.,.,PUNCT,,,,,,,,,,PUNCT,,,
11342,,,,,,,,,,,,,,,,,
11343,# sent = 850,,,,,,,,,,,,,,,,
11344,,Ну,НУ,PART,,,. _Ну_ то есть он возможно,у,н,,,,,PART,НУ,PART,У
11345,,то есть,то есть,CONJ,,,Ну _то есть_ он возможно сказал,ь,т,с,е,,о,CONJ,то есть,ADV -,ь
11346,,он,ОН,SPRO sg 3p m nom,,,Ну то есть _он_ возможно сказал пожестче,н,о,,,,,SPRO,ОН,SPRO sg 3p m nom,Н
11347,,возможно,ВОЗМОЖНО!,PARENTH,,,"Ну то есть он _возможно_ сказал пожестче ,",о,н,ж,о,м,з,ADV,ВОЗМОЖНО,ADV -,О
11348,,сказал,СКАЗАТЬ,V pf praet sg indic m -,,,"то есть он возможно _сказал_ пожестче , но",л,а,з,а,к,с,V,СКАЗАТЬ,V pf praet sg indic m -,Ь
11349,,пожестче,ЖЕСТКО!,ADV comp2,,,"он возможно сказал _пожестче_ , но ...",е,ч,т,с,е,ж,ADV,ЖЕСТКО,ADV comp,О
11350,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
11351,,но,НО,CONJ,,,"сказал пожестче , _но_ ... суть была",о,н,,,,,CONJ,НО,CONJ,О
11352,,...,...,PUNCT,,,,,,,,,,PUNCT,,,
11353,,суть,СУТЬ!,S f inan nom sg,,,", но ... _суть_ была примерно такая",ь,т,у,с,,,S,СУТЬ,S f inan acc sg,Ь
11354,,была,БЫТЬ,V ipf praet sg indic f -,,,но ... суть _была_ примерно такая .,а,л,ы,б,,,V,БЫТЬ,V ipf praet sg indic f -,Ь
11355,,примерно,ПРИМЕРНО,ADV -,,,... суть была _примерно_ такая .,о,н,р,е,м,и,ADV,ПРИМЕРНО,ADV -,О
11356,,такая,ТАКОЙ,APRO - nom sg plen f -,,,суть была примерно _такая_ .,я,а,к,а,т,,APRO,ТАКОЙ,A - nom sg plen f -,Й
11357,,.,.,PUNCT,,,,,,,,,,PUNCT,,,
11358,,,,,,,,,,,,,,,,,
11359,# sent = 851,,,,,,,,,,,,,,,,
11360,,Ааа,ААА,INTJ,,,. _Ааа_ ...,а,а,а,,,,INTJ,ААА,S m inan nonflex -,А
11361,,...,...,PUNCT,,,,,,,,,,PUNCT,,,
11362,,,,,,,,,,,,,,,,,
11363,# sent = 852,,,,,,,,,,,,,,,,
11364,,Соответственно,СООТВЕТСТВЕННО!,PARENTH,,,... _Соответственно_ я так подумала,о,н,н,е,в,т,ADV,СООТВЕТСТВЕННО,ADV -,О
11365,,я,Я,SPRO sg 1p - nom,,,"Соответственно _я_ так подумала ,",я,,,,,,SPRO,Я,SPRO sg 1p - nom,Я
11366,,так,ТАК!,PART,,,"Соответственно я _так_ подумала , а",к,а,т,,,,ADV,ТАК,ADV -,К
11367,,подумала,ПОДУМАТЬ,V pf praet sg indic f -,,,"Соответственно я так _подумала_ , а действительно",а,л,а,м,у,д,V,ПОДУМАТЬ,V pf praet sg indic f -,Ь
11368,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
11369,,а,А,CONJ,,,"так подумала , _а_ действительно ? ..",а,,,,,,CONJ,А,CONJ,А
11370,,действительно,ДЕЙСТВИТЕЛЬНО!,PARENTH,,,"подумала , а _действительно_ ? ..",о,н,ь,л,е,т,ADV,ДЕЙСТВИТЕЛЬНО,ADV -,О
11371,,?,?..,PUNCT,,,,,,,,,,PUNCT,,,
11372,,..,..,PUNCT,,,,,,,,,,PUNCT,,,
11373,,,,,,,,,,,,,,,,,
11374,# sent = 853,,,,,,,,,,,,,,,,
11375,,И,И,CONJ,,,.. _И_ вот этот вот,и,,,,,,CONJ,И,CONJ,И
